Concentración ingrediente activo (%),ID_Articulo,Tipo_Articulo,Tienda_Local,Año_Establecimiento,ID_Tienda,Ubicación_Tienda,Tamaño_Tienda,Tipo_Tienda,Visibilidad_Articulo,Peso_articulo,Ventas,Calificacion,Nombre_Producto,Precio_soles
4.78,FDX86820,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02404168,30,466,1.4,aceite de manzanilla 30 ml,30
3.21,FDX26023,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06857996,10,308,4.9,óleo aromático de lavanda 10 ml,20
1.32,FDX93104,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.0373818,120,21,1.0,jabón de arcilla verde 120 g,13
2.86,FDX94478,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.02255445,1,475,4.9,kéfir de agua de manzana 1 L,14
2.22,FDX76803,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06331731,10,130,4.4,óleo aromático de menta piperita 10 ml,20
2.53,FDX97313,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.0953997,30,315,3.3,aceite de almendras 30 ml,20
0.94,FDX33483,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.02098344,10,263,1.1,óleo aromático de matico 10 ml,15
1.66,FDX79479,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.07798253,10,389,1.8,óleo aromático de romero 10 ml,15
4.86,FDX82409,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.05047787,10,201,4.6,aceite de copaiba 10 ml,12
0.7,FDX65591,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.08600805,10,236,2.1,óleo aromático de romero 10 ml,15
4.84,FDX49099,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.05884265,1,40,2.2,kombucha de kión con espirulina 1 L,14
0.57,FDX12568,cuidado corporal,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.07950203,90,491,2.2,jabón saponificado de manzanilla 90 g,13
3.68,FDX23986,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0811158,10,378,1.3,óleo aromático de lavanda 10 ml,20
1.02,FDX32662,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.08650347,30,267,2.3,aceite de manzanilla 30 ml,30
3.78,FDX73335,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.03472496,44,448,2.5,incienso de palo santo,12
3.92,FDX16910,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.03304615,36,392,3.8,pulsera de palo santo,15
2.48,FDX60015,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.06727694,1,51,3.3,kombucha de muña 1 L,14
1.62,FDX66044,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.0585857,10,28,1.9,aceite de copaiba 10 ml,12
3.63,FDX32299,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09367279,30,44,2.2,aceite de aguaje 30 ml,30
4.12,FDX79163,otros,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.0474859,75,445,3.2,repelente de hierba luisa 75 ml,16
1.93,FDX33776,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.0344919,1,282,2.7,kombucha de kión 1 L,14
1.87,FDX68053,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.05596726,10,136,2.9,óleo aromático de hierba luisa 10 ml,15
1.71,FDX76199,rostro,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09486187,50,373,1.9,tónico de romero 50 ml,15
2.32,FDX61005,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.09746039,1,51,2.0,kombucha de kión con espirulina 1 L,14
3.71,FDX77172,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.03563564,30,80,2.1,aceite de manzanilla 30 ml,30
2.35,FDX10854,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.03507818,30,224,3.5,aceite de jojoba 30 ml,20
2.7,FDX36309,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.03178497,30,323,1.3,aceite de jojoba 30 ml,20
3.35,FDX75733,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.0458942,10,239,4.2,óleo aromático de molle 10 ml,15
2.79,FDX61663,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.01366976,10,147,2.3,óleo aromático de matico 10 ml,15
3.7,FDX21411,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06806555,30,307,4.8,aceite de pepita de uva 30 ml,22
4.27,FDX11802,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.04069597,120,472,1.8,jabón de caléndula 120 g,13
1.66,FDX56843,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.02574594,330,111,3.2,kombucha de jamaica 330 ml,7
4.98,FDX30932,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09103763,3,8,2.1,3 piezas de madera de palo santo,8
4.35,FDX69040,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06778285,10,74,4.7,óleo aromático de palo rosa 10 ml,25
3.11,FDX12557,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.09461201,30,152,1.0,aceite de pepita de uva 30 ml,22
2.69,FDX71135,cabello,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09950117,50,483,3.8,shampoo sólido de sangre de grado 50 g,28
1.3,FDX68871,rostro,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06846696,50,134,3.9,tónico de romero 50 ml,15
2.79,FDX55525,rostro,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.03386821,50,237,3.4,tónico de romero 50 ml,15
2.69,FDX15895,rostro,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06680248,14,225,2.4,mascarilla de carbón activado 14 g,10
3.51,FDX15600,rostro,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02757187,50,316,3.0,tónico de romero 50 ml,15
3.96,FDX83744,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09950955,10,157,4.8,aceite de copaiba 10 ml,12
3.86,FDX43828,otros,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09354867,75,496,3.2,repelente de hierba luisa 75 ml,16
4.91,FDX75726,probioticos,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.03751273,330,415,4.4,kombucha de jamaica 330 ml,7
3.01,FDX33093,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.07264268,120,359,1.3,jabón de sangre de grado 120 g,13
1.64,FDX20729,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.08896358,26,103,3.8,sahumerio de plantas medicinales,10
1.83,FDX59689,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.08291021,120,408,3.4,jabón de lavanda 120 g,13
3.33,FDX12368,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.01638468,30,493,4.2,aceite de almendras 30 ml,20
2.02,FDX23403,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06209784,10,287,3.3,óleo aromático de eucalipto 10 ml,15
2.6,FDX59726,probioticos,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09836568,1,149,3.4,kombucha de jamaica 1 L,14
0.67,FDX63006,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.04241716,1,443,2.3,kombucha de jamaica 1 L,14
1.72,FDX58747,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06606014,100,195,4.4,aceite de almendras 100 ml,40
2.35,FDX90738,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.06736869,30,307,1.5,aceite de aguaje 30 ml,30
3.72,FDX96672,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.04589388,28,91,4.0,sahumerio de plantas medicinales,10
1.33,FDX15949,probioticos,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.08523821,1,392,3.8,kombucha de muña 1 L,14
4.62,FDX56175,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.0594304,100,47,1.7,aceite de jojoba 100 ml,40
3.37,FDX23500,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.07641072,90,446,2.7,jabón saponificado de manzanilla 90 g,13
1.61,FDX77215,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.02427818,20,85,1.1,bálsamo amazónico de noche 20 g,20
0.71,FDX88832,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.0380272,10,445,3.8,óleo aromático de romero 10 ml,15
3.94,FDX72752,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.05182064,10,356,2.6,óleo aromático de eucalipto 10 ml,15
4.49,FDX50158,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.01137741,10,146,3.0,óleo aromático de árbol del te 10 ml,20
3.58,FDX37663,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.01635119,100,246,4.8,aceite de jojoba 100 ml,40
4.1,FDX69275,probioticos,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.04493529,1,379,1.5,kombucha de kión 1 L,14
3.32,FDX48304,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06863363,120,42,1.8,jabón de lavanda 120 g,13
0.95,FDX22161,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.01350668,10,241,3.7,óleo aromático de hierba luisa 10 ml,15
1.94,FDX25305,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.01209447,10,417,2.0,óleo aromático de molle 10 ml,15
3.62,FDX48513,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.06660486,30,412,1.2,aceite de almendras 30 ml,20
4.85,FDX54425,probioticos,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.04811238,1,407,4.2,kéfir de agua de manzana 1 L,14
2.36,FDX47841,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.03250148,3,95,2.4,3 piezas de madera de palo santo,8
1.57,FDX30150,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.0775784,30,216,2.0,aceite de aguaje 30 ml,30
2.9,FDX51555,cuidado corporal,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.08438117,120,341,2.2,jabón de aguaje 120 g,13
0.74,FDX73932,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.09148438,10,75,2.4,óleo aromático de palo rosa 10 ml,25
3.08,FDX15486,probioticos,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.0174956,1,68,2.2,kombucha de kión 1 L,14
3.53,FDX70566,probioticos,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.08031664,1,38,1.4,kéfir de agua de manzana 1 L,14
0.76,FDX19348,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.0763332,90,220,2.4,jabón saponificado de eucalipto 90 g,13
3.6,FDX92873,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.06563963,10,252,4.4,óleo aromático de naranja dulce 10 ml,15
1.5,FDX72856,cabello,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.08396741,50,121,1.6,shampoo sólido de sangre de grado 50 g,28
1.55,FDX38295,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.04368437,20,320,4.5,bálsamo amazónico de noche 20 g,20
3.16,FDX45909,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.07373631,10,274,4.1,óleo aromático de molle 10 ml,15
1.62,FDX25485,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.05433626,30,140,2.6,aceite de manzanilla 30 ml,30
3.95,FDX35470,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.06842893,10,0,3.7,óleo aromático de muña 10 ml,15
2.19,FDX38016,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.01746022,1,416,1.9,kombucha de kión 1 L,14
0.55,FDX32700,otros,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.01388439,75,148,1.2,repelente de hierba luisa 75 ml,16
4.64,FDX40354,probioticos,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09723723,1,401,1.7,kombucha de maracuyá 1 L,14
3.32,FDX78866,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.09110422,3,440,4.7,3 piezas de madera de palo santo,8
0.98,FDX39703,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02527119,10,163,2.9,óleo aromático de árbol del te 10 ml,20
0.85,FDX14835,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.09875897,72,144,2.1,sahumerio de plantas medicinales,10
3.58,FDX92844,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.02198666,10,34,4.3,óleo aromático de muña 10 ml,15
3.77,FDX60990,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09272589,10,9,4.7,óleo aromático de naranja dulce 10 ml,15
0.7,FDX11015,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0438817,74,145,4.9,sahumerio de plantas medicinales,10
3.17,FDX14158,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.04536905,3,314,4.4,3 piezas de madera de palo santo,8
2.61,FDX18702,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.03460664,10,495,1.3,óleo aromático de hierba luisa 10 ml,15
2.9,FDX19860,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.09969732,1,436,3.3,kombucha de kión 1 L,14
4.32,FDX23456,rostro,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.03169763,25,456,1.5,exfoliante de rostro con arroz amazónico 25 g,12
1.43,FDX80080,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.07045306,90,287,1.2,jabón saponificado de manzanilla 90 g,13
2.74,FDX71877,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.07950866,330,378,2.2,kombucha de jamaica 330 ml,7
3.02,FDX34285,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.08126361,100,400,1.5,aceite de jojoba 100 ml,40
3.29,FDX47441,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.08245402,47,191,1.1,pulsera de palo santo,15
3.15,FDX16941,rostro,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.0599334,14,434,4.6,mascarilla de carbón activado 14 g,10
4.03,FDX80173,rostro,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.0659878,14,50,3.8,mascarilla de carbón activado 14 g,10
2.57,FDX95392,cuidado corporal,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.05429047,20,339,2.8,bálsamo amazónico de noche 20 g,20
2.06,FDX46586,rostro,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06216849,50,458,1.3,agua de rosas 50 ml,15
1.12,FDX34071,probioticos,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.02620605,330,387,2.4,kombucha de maracuyá 330 ml,7
2.82,FDX85697,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06417419,120,50,1.2,jabón de sangre de grado 120 g,13
1.75,FDX46668,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.01286242,120,325,1.5,jabón de copaiba y árbol del te 120 g,13
1.43,FDX61745,cuidado corporal,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02158736,90,217,3.8,jabón saponificado de cacao 90 g,13
4.1,FDX15240,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.07190062,10,55,4.5,óleo aromático de matico 10 ml,15
0.51,FDX74291,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.08255812,61,206,3.1,incienso de palo santo,12
3.92,FDX77661,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.05162812,1,364,1.2,kombucha de jamaica 1 L,14
4.53,FDX94717,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.07746546,30,492,4.5,aceite de almendras 30 ml,20
2.29,FDX56271,rostro,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.03423189,14,484,1.7,mascarilla de carbón activado 14 g,10
4.28,FDX16229,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.03947476,30,299,1.9,aceite de manzanilla 30 ml,30
2.63,FDX17561,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.08102541,10,108,2.9,óleo aromático de hierba luisa 10 ml,15
3.01,FDX87735,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.04884936,30,82,2.5,aceite de pepita de uva 30 ml,22
3.41,FDX44529,rostro,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.03199178,25,314,4.9,exfoliante de rostro con arroz amazónico 25 g,12
